,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
194808,-5.8313,-2.0576,-1.2012,-2.2516,-1.3468,-1.4194,-1.7455,-0.0303,-1.1472,-0.6218,-1.7864,0.4906,-0.1,-0.9042,0.1875,-0.8084,-0.6147,0.6748,-0.112,-0.9214,-0.1607,-0.4567,-0.1522,-0.3717,0.7553
194809,-4.9774,-6.5665,-4.3716,-6.511,-6.9488,-2.0192,-3.1053,-4.9201,-4.7541,-6.0914,-4.4224,-5.4718,-4.896,-4.7375,-5.9722,-5.0081,-3.4933,-4.8468,-6.3797,-5.7215,-4.242,-4.0926,-1.9723,-4.0364,-3.3615
194810,0.5087,3.8273,5.7708,5.4027,5.3553,2.1466,3.751,4.6234,4.316,7.6986,3.4074,5.329,5.3674,3.905,3.9942,5.164,4.8143,5.9717,6.4733,5.881,5.2759,6.7569,3.7664,5.1375,5.3132
194811,-13.1335,-11.3959,-14.1829,-12.7928,-12.0528,-11.0062,-10.7651,-10.6056,-12.3759,-13.5843,-10.3115,-10.8549,-9.1411,-11.9156,-15.079,-10.1794,-9.2765,-10.3809,-13.3949,-15.9655,-9.7772,-10.3553,-9.8231,-12.044,-15.9919
194812,2.3801,-5.4104,-4.5404,-4.1132,-1.5301,-0.8771,-0.3165,-1.8055,-1.1214,-1.3499,1.3952,2.2475,-0.5923,-1.2532,0.1089,3.5157,1.6729,-0.7228,1.5646,0.429,4.0286,2.2065,2.2765,2.1944,1.4876
194901,1.2243,4.7954,4.8152,2.8123,5.0507,2.3912,0.7156,1.1207,2.8176,2.3298,1.0484,-1.0058,1.3898,1.1429,0.0809,0.9991,1.2119,2.9515,0.1401,2.0658,0.4957,-0.4601,-0.2402,0.4369,1.5212
194902,-9.4992,-3.9012,-5.4494,-6.6619,-5.1443,-8.4793,-4.317,-5.8868,-5.5818,-6.6856,-3.4583,-6.5397,-3.0976,-3.9302,-6.8663,-2.2224,-2.998,-3.3124,-5.2868,-4.2004,-3.0439,-3.9957,-2.2851,-2.0254,-6.2725
194903,9.5219,6.1352,6.9657,5.6074,6.775,6.0499,6.9166,5.0409,4.8008,6.9654,5.0549,3.858,4.4167,6.9208,7.5094,3.377,3.4651,3.092,4.6902,7.7089,4.5948,2.7978,2.2668,5.6196,4.2247
194904,-1.8135,-3.5645,-2.8864,-3.1878,-3.4631,-4.5999,-2.5907,-5.2731,-4.0065,-3.9447,-2.1218,-2.8857,-4.1493,-4.915,-4.5895,-2.6813,-2.9933,-3.31,-5.0257,-5.1551,-2.2686,-2.704,-1.3396,-1.328,-3.0868
194905,-12.3004,-6.686,-8.0186,-7.768,-6.8173,-5.1617,-5.8508,-4.1692,-5.5868,-7.3276,-4.0453,-4.4353,-3.1114,-4.7742,-7.6118,-3.1351,-3.263,-2.6439,-3.9922,-6.092,-2.579,-1.9044,-2.7994,-6.1458,-6.6601
194906,-1.8191,-5.0483,-2.6721,-0.205,-0.9514,-3.5299,-2.8331,-0.8737,-0.208,-2.8857,0.042,-3.2235,-2.8131,-1.4427,-4.2124,-0.2321,-1.4434,-0.6944,-1.8998,-2.4827,0.6792,1.0441,0.0773,-0.0321,-4.422
194907,14.2187,8.3113,5.4609,6.0813,5.3707,3.9722,6.2505,6.3881,7.6512,4.5935,6.7503,6.813,5.9876,6.7921,6.0324,6.8438,5.5382,6.9284,4.2366,5.8653,4.6864,5.3025,4.5443,5.9376,6.5569
194908,2.7739,3.5844,1.6535,2.7846,1.1392,0.4645,2.5708,1.8831,1.5716,0.7008,3.4095,1.0594,3.3647,0.7687,2.5648,1.6171,1.9648,1.8156,0.0976,3.9331,1.5405,2.5565,1.8087,0.2901,1.3509
194909,7.9772,0.3723,4.6913,3.93,4.7267,3.9633,3.7062,3.7463,4.522,4.9105,3.7628,4.334,3.2538,3.2731,3.2985,4.0292,3.8036,2.1646,3.3821,5.762,2.2497,2.7086,3.2434,4.0074,3.9837
194910,11.059,3.9844,6.6623,7.7971,5.9725,6.1076,4.3208,2.2646,4.5658,2.4576,2.8836,3.6,1.619,3.5959,5.3314,2.6142,1.8417,4.2003,0.2977,0.9895,2.5821,2.8311,1.9876,2.814,1.0693
194911,-10.2006,0.0504,-4.6573,-1.2713,-0.8032,-3.2935,0.3397,-0.1851,-1.1195,0.1379,1.2467,1.1069,0.3628,-1.7213,-0.1032,0.7729,0.6388,1.1142,-0.3605,2.6404,1.4946,1.6828,-0.823,1.522,0.1825
194912,5.1954,8.0309,6.0278,6.7102,8.275,4.9303,5.7601,5.9679,6.4051,8.0487,5.2741,6.1896,5.3479,7.8193,11.791,4.6784,4.6647,4.999,5.8799,7.3462,4.8795,4.6757,3.2525,5.1757,7.4668
195001,13.1436,2.7838,8.7905,3.6685,6.4832,8.3773,5.4934,3.9683,2.5412,4.7996,2.9963,5.409,3.715,2.5568,5.526,0.2972,1.8663,2.6715,2.7893,7.5487,0.7704,0.4988,3.219,2.2788,5.8882
195002,2.2172,6.0483,2.9211,3.3687,0.482,2.2412,0.9931,2.5309,1.6629,0.354,0.6483,0.3495,0.0751,0.5567,-0.8686,0.7488,1.3775,1.2239,-0.0794,2.2121,1.2504,0.3404,0.1085,1.041,1.5223
195003,-3.5526,-1.4554,2.9762,-2.759,-0.1953,-1.856,0.4838,-1.8921,-2.0881,-2.0529,-1.1638,-0.1535,-0.7543,-3.149,-2.8564,1.2435,0.0411,-0.8906,-1.8723,-2.1991,0.6213,0.1689,-0.0777,-0.0469,-1.0977
195004,10.0388,1.9071,7.5297,5.2815,8.2861,4.3852,5.355,4.9997,4.3367,7.3043,1.9598,3.4664,4.7741,5.7571,10.2822,3.3551,1.4637,3.8249,4.4805,3.2232,3.1462,2.0334,3.7872,3.5296,5.1643
195005,-0.4646,1.2882,-1.2618,2.7053,4.3446,0.9351,1.5087,2.549,2.8773,2.3627,1.8564,1.4073,2.9031,3.9615,1.4818,2.9459,2.2211,3.2615,2.9387,1.6399,3.4394,4.2011,4.0769,4.2638,0.7017
195006,-13.7096,-9.8232,-10.7306,-8.197,-11.0386,-6.9702,-7.5834,-7.7877,-9.552,-9.4157,-7.1411,-8.3556,-6.2535,-8.5409,-8.4808,-7.5317,-8.6399,-7.7516,-5.863,-8.647,-6.525,-7.2692,-6.5914,-5.6787,-7.397
195007,3.8223,2.7509,5.6143,9.1017,13.4023,0.0062,1.5716,4.4967,5.9921,13.6236,-1.4633,-3.4792,2.4501,6.7661,17.4427,-1.8448,-0.1861,5.3482,8.7516,16.3846,-3.9661,-1.9098,5.3961,12.318,13.0548
195008,0.0819,6.3478,4.6828,3.1438,5.8475,5.0781,3.1547,5.085,5.5536,2.2679,4.3064,5.2537,4.9483,5.2082,3.8186,4.3758,3.7153,4.0978,2.657,4.1556,4.8643,3.996,4.3692,1.5749,0.6594
195009,3.7242,5.875,2.8723,3.557,3.1057,4.8304,5.6069,4.0198,5.7314,5.703,4.534,5.8744,6.0994,4.7448,5.225,5.991,6.2514,4.9261,3.4313,8.5452,4.4424,6.028,4.7395,4.8299,3.8852
195010,-3.7947,-2.8098,0.0975,-0.3863,0.3889,2.6886,-0.2716,-0.5518,-1.56,0.648,-0.1246,-1.9358,-0.8682,-0.7532,0.0632,-1.3581,-1.3988,-1.8168,0.6294,-3.1567,-0.9157,-0.7984,-2.8494,-1.121,3.1905
195011,-1.4518,1.0061,0.1843,0.7128,4.0038,-1.3658,-0.6953,0.7428,1.6148,6.8983,-0.2789,0.077,0.9653,1.5639,4.7443,1.4967,1.6959,2.0113,4.585,7.5373,3.0632,0.5245,2.2335,3.41,1.4542
195012,8.9968,8.0584,10.8015,12.7178,13.697,8.5649,4.9644,9.4811,7.1809,13.022,1.6364,1.6506,4.3097,7.4532,14.3641,4.0428,2.8903,7.7172,9.6477,11.137,2.5396,4.1591,4.2532,8.7348,12.6788
195101,6.7731,8.3115,8.7525,6.7174,10.4927,6.8174,8.3096,5.9824,8.9762,9.7014,6.6773,7.6113,6.9742,9.4734,9.524,6.3331,7.653,6.4814,6.6131,8.7266,3.9583,5.4866,5.1894,5.0731,9.7461
195102,2.8067,0.8842,-0.5,0.3929,-1.111,0.9201,0.0153,1.8695,-0.5357,0.8476,1.5846,1.8433,1.3832,-0.8521,-0.9171,1.0226,0.6251,2.1059,0.7953,1.2313,2.1999,0.6191,1.6193,0.39,-3.3448
195103,-0.1821,-5.8659,-4.9691,-5.4932,-6.359,-2.6458,-1.8247,-3.6322,-5.9854,-5.8759,-2.4456,-0.9732,-4.7648,-4.8252,-6.875,-2.1666,-2.4182,-4.4204,-6.7829,-6.1639,-1.1641,-1.6315,-4.0247,-4.5261,-5.5806
195104,1.9637,3.5827,4.4361,2.4722,4.4722,2.7731,2.68,3.2071,5.2282,4.6078,0.5028,2.8876,3.5909,4.8131,7.1717,3.5593,3.636,3.9433,5.4267,4.2963,3.8755,2.2651,4.8191,6.669,5.7958
195105,-7.3604,-3.1414,-3.7814,-4.8835,-4.1087,-3.0127,-3.1635,-2.4671,-3.6423,-4.7663,-2.5229,-2.6714,-3.0725,-3.2274,-2.1851,-2.1746,-2.407,-1.8677,-2.9987,-4.3439,-2.2697,-1.5203,-2.203,-2.7034,-5.3961
195106,-2.7775,-7.4261,-7.5056,-5.1785,-6.4432,-4.4329,-4.1876,-6.0517,-6.4234,-7.8571,-4.9312,-4.3076,-4.8884,-6.6456,-11.1467,-3.0686,-3.1725,-4.8372,-6.1877,-8.4616,-1.022,-2.8262,-2.3157,-4.8684,-8.0779
195107,3.0661,3.4066,3.0564,4.121,3.959,5.3065,5.8845,4.8458,6.4155,6.8526,3.7727,6.5979,4.6679,6.8285,6.7164,8.1804,5.3361,5.7522,8.0318,10.9836,8.3318,4.9271,6.317,9.1985,10.9444
195108,10.3358,10.6585,4.8302,5.1518,5.0592,3.2972,3.8306,2.6842,5.7218,3.2562,3.9027,5.1339,4.5916,3.4165,4.3384,2.5804,4.1398,3.4842,3.7489,1.4026,2.326,3.1256,3.9609,3.3515,3.7166
195109,2.2135,0.6497,1.6925,1.5926,1.1895,2.1277,3.5991,2.7002,1.6407,4.1497,0.0066,1.5581,1.1447,2.4497,2.8378,0.6873,1.7894,1.7496,2.4101,3.0222,0.3608,0.8181,1.1994,0.6362,2.4552
195110,-3.5217,-0.3205,-3.4363,-3.4917,-1.6967,-2.4316,-2.7759,-2.7064,-3.2929,-4.3609,-1.8384,-1.7872,-1.8873,-2.1653,-4.0389,-2.6983,-2.5821,-2.6198,-1.5451,-4.6437,-4.0658,-2.6005,-1.3192,-0.7711,-3.7807
195111,-0.4344,-1.8905,-1.3147,-1.2759,-1.3662,-0.1636,-1.373,0.1954,-0.4125,-0.0548,0.089,1.3406,0.4161,-0.7152,-0.565,0.2678,1.8616,0.8318,0.6763,1.2155,0.305,0.6741,-1.1052,-0.6163,0.9857
195112,-1.1273,-2.2192,0.4401,-0.326,-0.9555,1.5812,-0.9849,0.7348,0.0616,-0.0709,0.5831,-0.3672,0.3698,-0.7173,-0.0604,2.4768,2.1594,0.6909,0.2462,0.6479,3.7999,2.5657,2.9617,2.521,0.9946
195201,1.0206,3.3829,1.0388,1.1299,2.0708,1.8614,1.766,1.2109,1.9009,0.9236,1.7472,1.6903,0.7242,0.9766,1.5971,1.5921,1.56,0.8987,1.8056,1.2216,1.4823,1.5029,1.9865,2.3772,2.6187
195202,-2.5789,-3.4828,-2.6191,-3.5575,-2.6589,-1.7515,-2.6342,-3.3818,-2.0741,-2.1274,-2.2778,-1.0698,-3.0139,-3.41,-1.9391,-1.3966,-1.6024,-3.6681,-2.6003,-2.0597,-3.0825,-3.0404,-3.7352,-3.745,-2.8533
195203,1.3679,0.6372,0.5932,2.0403,1.449,0.2223,1.3116,1.6009,2.0944,3.9774,2.1947,1.1359,1.6464,2.1125,3.4826,2.2211,1.7986,2.0107,4.0656,5.9973,3.1324,3.6131,3.7959,4.1796,7.0579
195204,-5.3351,-6.172,-4.7144,-4.3513,-4.4506,-5.0502,-5.5579,-4.4554,-5.0985,-4.3141,-3.8447,-5.4939,-3.7023,-4.7433,-3.382,-5.8192,-4.4013,-4.0078,-6.5012,-3.055,-4.6145,-4.1274,-5.4542,-5.1445,-6.1181
195205,-7.2877,0.041,1.7403,1.1501,1.3092,1.591,1.6968,2.1097,1.2985,2.1822,2.1337,1.7763,0.7488,1.1922,3.1291,2.5951,1.5783,2.7337,2.5771,2.4916,2.9518,1.6183,3.1188,1.5922,2.9545
195206,1.7383,4.6633,1.1569,1.583,2.9535,2.1209,1.3702,1.9322,1.996,3.464,-0.1767,2.0528,2.0656,3.5683,2.9784,2.8106,3.4113,1.9224,2.8402,2.7772,2.4791,3.0291,3.5011,2.8597,6.3648
195207,1.6238,1.5799,1.7808,0.5898,-0.1541,1.5682,-0.1892,1.1582,1.0027,-0.4072,1.2976,0.7958,1.4558,1.2865,-0.0567,0.7346,0.9581,1.1219,0.9465,1.3843,0.7044,1.4838,0.1175,1.9023,0.4469
195208,-5.2637,-1.4534,-0.3052,0.1334,-0.7023,-0.7006,-0.9336,-0.0635,1.1132,-0.1977,0.0779,0.4949,0.8369,-1.1365,-2.0336,-0.6073,0.7845,-0.6919,-1.0547,-0.7762,-1.8826,-0.7076,-0.3348,-2.3644,-1.8022
195209,-1.2339,-0.1402,-1.0961,-2.2308,-1.2968,-2.6162,-2.8114,-0.5699,-2.4478,-2.5028,-0.1035,-1.6825,-0.867,-3.1358,-3.2747,-2.7378,-1.0326,-2.0848,-2.1182,-3.1232,-2.1078,-1.5627,-2.7375,-4.2228,-2.5751
195210,2.1065,-2.0982,-0.247,-2.2367,-1.0214,-2.308,-0.7372,-2.7082,-1.5874,-2.6796,-0.95,-0.4976,-2.3346,-1.6381,-1.2365,-0.6061,-1.7987,-1.7841,-1.6697,1.1214,-1.6618,-0.7355,-1.306,-0.5139,-1.5079
195211,0.573,6.9973,2.1843,3.4523,4.1895,5.6197,2.8727,4.7519,5.4285,5.8853,4.8185,6.1942,4.7435,4.5286,5.8913,3.5016,5.1119,5.1587,5.2872,6.63,5.3677,5.2849,5.4522,6.7793,8.092
195212,-1.726,-2.8735,-0.9982,-0.7888,0.8144,0.8769,1.9587,2.884,1.819,1.9783,0.9924,1.0029,0.7752,0.6407,2.1152,2.406,1.1544,0.9385,1.4041,3.6086,2.2834,2.3617,2.3767,4.4097,4.675
195301,6.1688,5.1045,3.7495,4.9571,4.4545,5.1373,3.0369,2.4666,3.0583,4.0497,2.8126,1.5426,3.1967,3.3376,1.6178,-0.2645,0.7422,3.7124,2.1345,1.99,-1.5016,-0.4475,-0.4704,-0.7221,1.3619
195302,12.234,2.1962,4.2376,1.8586,2.2,1.5942,-0.3874,0.8151,0.8969,0.8564,0.7444,1.2309,0.2118,0.6148,-0.091,0.6437,0.0211,-0.2857,1.0385,-1.3552,-1.0791,-0.4475,-0.7235,-1.154,-1.7651
195303,-10.4053,-3.209,-2.3526,-1.4244,-0.7093,-3.713,-1.0575,-2.2068,-1.873,-2.2044,-0.7899,-1.1223,-2.054,-1.7275,-2.7362,-1.5829,-1.4101,-2.5415,-3.1513,-1.71,-0.5749,-1.6397,-1.5763,2.7287,-3.9403
195304,1.0146,-3.5211,-1.9863,-2.2969,-2.0098,-3.088,-3.5475,-2.0949,-1.321,-1.7944,-3.616,-1.9522,-2.6497,-1.7191,-2.4753,-2.4067,-3.6586,-1.7541,-2.2217,-2.7475,-3.5387,-2.7209,-3.1677,-3.3133,-2.0074
195305,6.7729,-1.2243,0.9758,-0.6176,0.7744,-0.2522,0.3191,0.8051,-0.5557,0.4058,-0.504,-0.4925,-0.2204,-0.3578,0.6393,-0.7691,-0.6041,0.0269,1.006,3.197,0.1518,-0.6908,-0.2725,0.0674,2.0086
195306,-7.7677,-5.653,-5.5486,-4.1849,-4.8616,-3.5223,-4.8494,-3.1738,-3.9974,-5.6401,-2.8242,-3.9632,-3.3062,-4.3548,-3.914,-2.8816,-3.8866,-4.0445,-5.1982,-2.3246,-2.2117,-2.8647,-1.5405,-2.9446,-1.72
195307,-1.5048,-0.7907,1.2995,1.1372,1.6523,-0.5095,1.0386,1.1002,0.9313,1.2082,1.0323,1.406,1.6106,2.2027,1.6166,1.5841,1.2488,1.4599,0.4729,0.7366,3.0571,3.0577,1.4238,1.0887,1.176
195308,-8.1635,-7.6041,-6.7528,-6.8145,-5.6572,-4.9032,-4.3909,-6.1583,-6.8038,-7.0564,-4.153,-2.6667,-6.3268,-7.1927,-8.4716,-4.4321,-4.2993,-4.8681,-6.4388,-9.6041,-3.717,-4.3347,-4.9805,-6.6244,-10.7727
195309,-2.4033,-4.6102,-2.3707,-3.1121,-4.2776,1.5069,-1.8256,-1.5446,-2.0356,-2.5381,0.2716,-1.7609,-1.1153,-2.5946,-3.9433,-0.0997,-0.1662,-0.9818,-2.3117,-3.4477,0.6423,0.7413,-0.5121,-1.7535,-2.227
195310,-0.7181,2.1819,3.796,1.1736,1.7779,0.5623,3.193,2.411,3.2294,3.2071,3.3973,4.4635,3.5698,5.852,3.5173,4.3258,3.9685,4.7174,4.4655,2.9947,4.4207,3.7013,4.8777,4.6601,3.211
195311,-0.3476,5.7052,2.1135,-0.715,1.403,1.6947,2.1385,1.6769,-0.5619,1.2165,2.2011,0.9632,0.3632,0.5442,1.4445,1.4877,2.2057,2.0623,1.9873,2.7992,2.9116,1.4285,1.0611,1.3863,1.34
195312,-3.166,-3.1676,-3.1942,-3.7066,-5.0594,-2.4011,-2.5615,-2.0323,-3.4455,-4.9939,-0.5753,-1.1629,-2.571,-2.4173,-3.6933,0.0491,-1.1444,-1.4401,-3.1258,-5.8763,0.4905,0.4337,0.3379,-2.6599,-5.8329
195401,10.36,8.6589,5.3924,9.7548,9.5014,5.5556,5.8629,6.2481,7.1289,9.9684,5.4608,7.5277,6.7709,6.8186,8.1299,5.3279,5.6522,6.8815,6.2212,8.2038,3.8081,4.9325,6.9073,8.8665,8.3955
195402,-1.0368,2.1583,-0.6898,-0.6875,-0.2443,1.7685,-0.8776,2.2579,2.0018,-0.5957,1.0257,1.3454,0.9183,1.2615,0.4525,1.5883,1.1905,1.928,1.101,-0.1523,1.0091,0.3809,1.1723,-1.1014,1.5836
195403,3.0216,2.6641,2.6333,1.0544,1.7525,1.6495,2.0714,1.6179,2.1124,1.6988,3.1331,1.0617,3.0968,2.0255,-0.0826,4.0176,2.6829,3.3851,2.6324,0.812,3.4127,3.1139,2.5323,2.0929,0.0597
195404,-4.3301,4.0892,1.2402,0.9486,-0.0036,-1.1799,-0.6224,1.4176,-0.2657,-0.3482,1.1658,2.0689,2.1526,1.6688,-0.8284,1.6497,2.7055,1.8719,-1.7783,-0.5679,3.338,2.886,4.3341,3.0294,1.1139
195405,-2.4263,7.0167,4.0508,3.5515,3.4651,1.2907,3.4963,3.3477,3.6432,4.1934,3.0416,2.7554,2.2264,4.0344,6.6893,3.1332,2.6486,4.2685,6.1,7.6423,3.0334,1.8407,2.3515,7.3811,6.4734
195406,-4.1652,1.3047,0.3899,0.4216,2.3118,0.6919,-1.2839,2.167,0.5032,1.4846,0.262,1.0068,1.0034,1.409,0.5118,0.7361,1.8848,1.0722,0.1641,-1.1322,1.1745,0.338,-1.2164,0.4617,-1.6775
195407,4.4352,5.9118,4.0969,9.4731,14.0461,3.4619,6.8041,7.0262,6.8518,7.8317,5.033,6.9162,6.581,7.0643,6.4847,5.2137,6.9608,7.7282,5.376,7.9594,4.7261,5.4257,6.3383,5.5369,9.3194
195408,1.8547,-1.4037,-0.0617,-0.5577,0.5262,-1.6681,0.7851,0.404,-0.2213,-0.5114,-0.3068,-2.2824,-1.6648,-2.0955,-1.7826,-2.293,-2.5517,-1.5414,-2.0639,-3.3799,-3.6215,-2.4722,-2.577,-4.9705,-6.1159
195409,-0.9072,4.5034,2.2674,4.5048,3.4646,3.5882,3.4769,3.926,3.792,4.2542,1.337,2.3479,5.5881,3.9092,4.7425,3.7462,4.0625,5.8884,5.2617,3.8093,4.3266,4.9172,7.3562,6.7885,2.5106
195410,-3.569,-2.2061,-0.2831,0.2763,-0.6623,-3.6195,-0.4921,-0.4623,-0.6012,-2.6203,1.9473,0.0432,-0.9901,-0.3751,-2.0083,-1.3864,-1.0778,1.3379,-1.6285,1.0895,-2.077,-2.0046,-1.0372,-0.5221,0.6614
195411,4.3881,6.3088,6.8746,6.6121,6.6708,8.5361,5.0883,7.0235,9.278,8.2679,6.9692,7.8,8.8718,12.1917,9.705,6.4388,7.4486,10.8581,10.5838,12.2075,9.2225,7.3391,9.1669,9.9087,15.3682
195412,14.2695,11.3166,10.085,11.6027,13.9267,7.1158,10.2008,8.2351,8.5672,11.5601,4.2662,6.8695,7.2892,10.5382,12.2234,4.1643,4.3534,5.638,8.2899,14.4069,3.4493,5.1131,7.8929,9.3898,15.5764
195501,-5.5366,7.3308,2.3272,3.3871,3.8729,-2.7848,1.5474,0.9041,1.153,1.6771,2.6199,0.8967,3.1658,1.4896,2.4265,-0.3934,0.8598,0.9692,0.2486,0.0922,-0.4248,0.8045,-1.0135,1.2825,1.5549
195502,2.3469,6.7064,5.8483,4.8694,4.7444,2.6558,4.03,3.5522,3.3823,4.7641,5.0164,4.6208,4.9893,4.9262,3.7988,3.0671,2.8817,3.2918,2.7686,3.2808,3.0487,2.9033,2.2673,1.5966,3.8187
195503,-0.6194,-0.3434,0.364,-1.5618,0.2169,-0.9173,-0.8745,-0.9602,-1.0214,1.6069,-3.6394,-1.3152,-1.5969,0.9268,3.4397,-0.9082,-1.8444,-2.1283,-2.1192,2.1746,0.9567,-0.311,0.5006,1.2631,0.0664
195504,3.8188,1.1427,2.9318,2.6362,1.4312,1.1474,1.8787,1.4611,2.4608,3.0909,2.8816,2.8488,1.9854,1.5381,1.1629,3.2175,1.5713,2.7458,2.1316,1.4697,2.2344,2.3266,2.5107,4.3081,4.4382
195505,-3.2549,3.4021,-0.3631,-0.4541,0.639,-1.6257,1.2245,-0.5924,-1.1602,0.7123,0.5103,-0.912,0.3119,0.327,0.7817,0.3185,0.6405,-0.2882,1.2913,0.152,1.758,-0.0699,0.2326,-0.5348,0.6101
195506,4.4575,4.1909,3.0587,3.1616,2.9636,1.0445,0.5941,2.8429,3.822,2.009,2.54,0.8706,2.8927,4.0404,1.1848,3.8305,4.4295,4.3399,4.2152,-0.2038,3.4508,3.8572,7.9137,7.0891,4.1719
195507,11.9955,3.2689,-0.4033,1.9339,1.3945,-4.4198,0.4699,1.8614,0.8396,2.3928,0.458,0.0753,-0.7037,0.3764,0.9322,-0.3519,0.9026,-0.183,-0.6122,2.5702,-0.8297,1.3566,0.9954,-0.0649,0.5392
195508,6.4083,-1.4516,0.8131,-0.9855,-1.3732,1.0163,0.5577,-0.1999,-1.6872,0.2596,1.5572,0.2472,0.4526,0.3678,0.1688,1.1408,0.0063,0.4835,-0.4183,-0.9077,1.2013,-0.6341,-0.2182,1.1071,0.6535
195509,4.1104,-0.0472,0.3117,-0.8757,1.4218,-3.0993,-1.8151,-0.5037,-2.084,-0.5716,-1.8318,-2.0549,-0.9513,0.3806,-1.5393,-1.8299,-1.7089,-1.2124,-2.2125,-1.5778,-2.7694,-0.5363,-1.352,-1.4318,-2.7802
195510,-4.8224,-3.8054,-4.5229,-1.3493,-0.7032,-3.7408,-1.5047,-1.3048,-1.4385,-0.3093,-0.9062,-2.2963,-1.8079,1.0107,-2.4573,-1.8413,-1.7958,-1.7656,-2.1854,-3.8188,-2.1458,-2.319,-2.5377,-3.1792,-3.7763
195511,-3.0365,8.226,2.1545,2.5562,2.1607,5.6856,5.5736,4.5991,3.181,5.0524,5.6906,5.6032,5.3752,3.6908,6.9083,5.6693,5.4506,5.0481,5.1983,6.4914,6.5014,4.7543,4.5638,6.2862,9.7269
195512,-0.4235,0.4825,1.3819,2.6635,2.3686,0.2238,0.0963,1.7863,1.6383,1.4663,5.2335,1.9664,3.1296,0.4224,1.6724,1.7281,2.2402,1.7607,0.9393,-1.0439,2.6647,1.18,2.0764,0.0076,-1.5601
195601,8.2896,-0.9577,0.5932,-1.5533,-1.0757,-1.6363,-1.4688,-1.7488,-2.6825,-1.5797,-4.4473,-2.4393,-3.7807,-0.6852,-3.9934,-2.9652,-3.1128,-2.9165,-4.028,-4.6332,-3.7353,-2.4968,-1.3789,-0.2488,-3.5863
195602,4.1058,2.1784,0.6617,2.3578,2.2606,2.2309,2.414,4.6621,2.4876,2.0071,2.8645,2.0988,3.6823,2.311,1.866,2.8859,3.675,2.5,3.7128,3.5067,4.3377,3.0795,1.9479,3.8533,2.4691
195603,0.519,2.4525,0.074,5.8733,3.9748,-0.5402,3.4193,4.8848,2.7483,5.4475,5.9923,3.5528,4.7672,5.0231,2.8149,4.6745,5.5411,6.0692,4.4836,2.1485,7.3603,6.1237,5.9756,5.9828,9.7336
195604,-3.3476,-1.0924,-1.2868,-0.2374,0.9976,0.7801,2.12,-0.8466,-0.1832,0.4819,-1.4695,0.3671,0.5318,1.3034,-0.2894,0.9275,-0.2709,0.5095,0.6949,0.3835,0.0866,-0.2951,-0.3173,-0.8014,-0.092
195605,-0.4863,-5.1881,-2.7365,-3.5929,-4.9948,-4.762,-6.2296,-4.5409,-5.0318,-4.8957,-1.8598,-4.2752,-3.1802,-5.3407,-5.6001,-3.4465,-3.685,-5.4247,-5.8216,-5.5201,-4.4502,-4.5406,-5.2191,-5.6259,-9.0658
195606,-7.3984,-0.5687,0.7925,1.0372,-0.1215,0.226,1.4883,1.5037,0.7344,1.1173,2.8068,1.837,2.8532,2.1122,1.0613,3.3142,2.222,1.8975,1.4768,0.6301,4.5152,1.9434,3.7776,1.8807,1.9219
195607,2.4502,1.6803,-0.2068,3.0765,2.4809,1.3578,4.3662,2.5739,3.7308,3.4781,3.7394,3.7732,4.3805,3.7488,3.4025,4.2168,5.544,3.5863,5.3021,2.5807,4.9649,5.4787,5.0103,5.6879,2.8352
195608,-6.2171,-4.0714,0.1204,-1.0492,-1.7214,-1.8157,-0.5581,-1.7963,-1.8715,-2.5137,0.7709,-1.5635,-2.0539,-1.7785,-3.8572,-3.3633,-3.3007,-2.9407,-3.2252,-2.9483,-2.6592,-3.4386,-2.3116,-3.4967,-5.7418
195609,-3.965,-12.6167,-2.5942,-3.0611,-1.8006,-4.9495,-1.878,-4.0311,-2.0392,-2.5359,-4.9864,-5.2359,-3.5438,-3.5489,-2.4458,-4.5767,-4.3528,-4.0927,-3.8529,-3.3529,-7.1841,-4.491,-4.339,-4.9603,-3.2197
195610,-7.8518,6.1006,-1.0872,-0.1622,1.2154,-0.8228,1.5715,1.2741,-0.2642,-0.273,0.6539,0.7856,-0.5225,1.5184,0.4157,0.3578,0.3279,0.677,1.4985,0.1424,0.5605,0.8926,0.6906,0.8269,1.3045
195611,-4.8572,-0.4961,-1.9763,-0.869,0.0342,-0.0106,-2.7038,-0.6957,1.3281,1.1631,-1.6033,1.036,0.0202,-0.5232,1.8687,0.781,0.0256,-0.9131,0.4518,-1.2458,-0.1578,-0.4183,1.5561,3.6452,-3.2716
195612,2.7734,-3.6551,0.8644,0.8998,-0.0453,2.0331,1.9026,1.4033,1.4294,1.8264,4.0735,2.5642,2.8149,-0.177,0.0596,2.8692,1.7799,2.7619,2.867,3.0375,2.8506,2.4047,2.5425,1.9588,2.0322
