,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
192805,18.3967,1.5599,3.3519,16.3265,9.0491,2.2899,2.9486,7.9224,4.2856,1.9496,2.617,5.6802,1.0083,-1.63,-3.3923,2.6985,-0.3141,0.2899,1.1561,0.7819,1.0697,2.0804,1.0979,-0.0947,-3.2663
192806,-18.2838,-1.3254,-13.0475,-9.1046,-9.0898,-6.4576,-7.8761,-10.5963,-9.0534,-6.9777,-8.1867,-6.0671,-7.0491,-8.2527,-6.4094,-6.2592,-5.8584,-3.3525,-6.2099,-8.0711,-4.3859,-3.4846,-5.2774,-4.9319,-8.7651
192807,1.6191,0.3011,4.4758,0.9639,-1.2353,0.2145,-4.4566,-1.2318,0.621,-3.1105,-0.6698,-0.6076,-0.8362,-0.3028,0.7871,0.6342,-0.7032,0.9154,1.1069,1.1614,1.6185,0.4217,0.5345,-0.0916,0.6352
192808,4.6701,3.2414,1.3137,1.886,3.8601,5.5749,3.5667,4.2498,2.7416,4.2782,5.0623,8.2197,7.8729,3.7186,8.0673,10.3944,7.7444,5.5144,7.3247,8.3533,8.9961,6.2495,5.8958,3.99,5.6784
192809,6.2377,4.3183,3.555,1.8011,11.9459,2.695,1.7014,5.512,4.5239,11.078,5.0874,3.7727,4.7362,6.0611,3.0975,5.9411,4.6245,2.3176,2.269,6.4685,1.7752,1.2581,2.3458,0.5741,7.7518
192810,-3.0636,-2.9323,2.2383,2.0883,3.2601,4.4025,2.6558,1.9668,1.4713,-0.5123,5.2633,4.7609,2.3537,0.3329,-1.9262,0.3171,-0.2864,-1.7521,3.5826,-4.2409,1.236,1.2645,2.52,-1.0594,5.4515
192811,1.3812,27.4296,8.3205,15.9327,12.5742,7.0922,7.577,10.5805,12.3693,8.7913,9.2977,10.6088,15.0856,11.3915,15.6138,10.4751,11.0988,8.8396,8.1351,14.2484,13.2235,11.3551,12.3164,8.0786,18.7913
192812,-4.0888,-0.9902,-5.3824,-3.9904,-4.7422,-2.2073,-3.2906,-1.4364,-4.1953,-0.74,2.3079,-0.6745,1.2351,0.7045,-0.4436,1.594,2.5817,-0.3219,0.8659,-3.4799,0.9716,-0.022,-0.7514,1.1406,1.3113
192901,4.8955,10.4264,-3.528,7.3085,4.5431,1.2258,1.1889,0.3911,-0.8301,0.4718,1.834,1.8568,-3.5377,3.2411,1.4912,2.7164,5.1365,2.9926,1.9269,2.1773,5.26,7.9029,5.0155,4.0183,0.8189
192902,-1.6797,-9.7903,-2.3314,0.343,-1.0789,-2.8927,3.0399,2.6352,-0.1423,3.1825,1.3983,0.1767,0.6835,0.859,0.1407,0.3418,1.6041,2.3357,0.1725,1.7225,-1.1641,0.0537,0.8087,-0.8591,4.3691
192903,-14.2716,4.754,-2.8577,-6.641,-3.1655,-4.9729,-5.8248,-5.7427,-2.278,-2.6287,-7.1665,-5.2508,-3.6884,-2.9125,-6.5031,-4.281,-5.6907,0.4218,-2.3026,-2.6369,-0.6426,-1.1701,1.9492,-0.7883,0.1639
192904,0.3515,-9.4723,7.2335,4.7704,-0.3064,-1.7009,1.1633,3.105,-2.0518,-0.8949,1.4218,0.0149,4.7488,0.5065,1.7639,2.8502,0.7773,-0.9508,1.3879,4.5058,2.0384,1.7481,-0.1024,-0.5841,3.7838
192905,-19.7,-4.8517,-19.411,-19.0766,-11.2629,-12.9812,-11.1179,-8.9634,-15.1106,-15.9328,-6.8796,-9.8358,-7.0722,-8.2559,-8.7364,-8.3361,-10.9145,-4.7981,-6.3956,-0.1663,-3.629,-4.7743,-4.2224,-1.091,-1.6851
192906,17.8035,4.3475,3.882,6.8005,4.1082,4.7807,5.3872,9.0791,3.4774,6.4928,7.5495,7.5806,9.2646,7.0501,7.4251,11.9435,9.8013,7.8385,8.2323,3.0139,9.5,12.8186,7.6462,8.1043,4.361
192907,0.2066,-3.9976,-3.53,-8.1683,1.3256,-3.0362,1.8476,-1.4608,0.3486,5.7055,-0.2126,3.6621,0.4013,-1.4731,10.0704,1.1465,2.9905,1.6068,0.9269,5.1445,3.1305,4.757,3.8935,5.8369,4.3417
192908,-5.5298,-4.3454,-8.2594,5.2121,-4.2084,-1.7198,-0.0574,0.0714,0.8395,-0.288,1.1092,0.2185,5.1678,1.5514,0.4478,1.7333,-0.7614,4.0393,4.6991,7.5016,7.026,11.4175,10.8645,9.1613,6.7552
192909,-13.7724,-5.3706,-8.5617,-6.6885,-7.8398,-9.1551,-3.6385,-4.4193,-6.7438,-1.3321,-9.6897,-1.2595,-2.9661,-3.8226,-0.9424,-2.0184,0.9761,-4.6714,-3.8587,-7.4041,-3.8127,-3.722,-5.5508,-4.4369,-6.8885
192910,-37.1129,-24.6959,-19.5612,-23.5516,-16.7116,-20.2059,-19.4829,-23.2893,-15.9631,-19.5024,-30.6557,-21.5891,-12.2603,-15.995,-20.5793,-28.7146,-23.8169,-17.4816,-14.419,-16.7101,-22.7061,-18.2028,-15.8038,-11.1908,-9.2494
192911,22.3214,-20.3561,-4.6124,-15.9208,-14.149,-19.1373,-15.3977,-10.2284,-10.5092,-13.7562,-15.9681,-13.689,-7.7502,-8.8815,-12.7506,-14.8254,-13.5178,-8.1126,-8.4287,-11.9406,-12.843,-16.44,-10.2341,-7.9843,-5.7188
192912,-6.2607,-20.8232,-12.8712,-8.8119,-7.92,-6.4714,-7.4191,-9.9574,-0.2251,-6.1069,-7.3029,-2.6217,2.2938,-4.6874,7.2873,2.6758,-5.1314,-4.8137,0.1274,12.2886,3.3915,3.1083,0.0827,0.0625,-0.6015
193001,-4.8186,15.9049,29.7331,12.9971,16.5294,5.7827,11.6569,9.8594,4.7397,17.5623,10.2929,14.8503,4.3468,7.2872,5.2265,8.747,11.4733,6.9635,5.4943,3.1489,5.4571,5.3341,2.0287,3.3868,0.4724
193002,34.6136,19.4824,-3.498,0.9971,3.4576,0.2341,0.9288,4.5193,1.0322,7.8873,0.657,2.6645,1.3164,4.0682,3.3947,1.7378,7.8708,-1.4128,-0.2324,-0.8823,2.0799,3.0194,0.9175,1.0922,4.8256
193003,18.2025,3.9265,9.4518,22.9792,18.2108,4.0436,5.8873,11.4128,10.9165,6.9586,13.4745,7.1419,8.5339,9.9854,18.6063,9.6136,7.8876,6.8071,13.2034,11.8232,2.8008,5.7629,9.5091,5.0847,2.0093
193004,-9.8163,-5.2319,-10.1769,-5.1814,-8.9993,-6.8017,-6.4274,-1.0262,-2.579,-6.0121,-2.9954,-4.6234,-5.0945,-4.367,-3.0258,-1.6223,-7.519,-7.3792,-4.8234,-6.197,-2.0709,-5.9869,-1.6152,-6.4226,-9.5298
193005,-6.852,-12.6559,0.4639,-6.3769,-7.5848,-4.6959,-2.511,-6.738,-4.9515,-4.7537,-5.4798,-0.5033,-4.7538,-2.8097,0.6042,-3.5493,-3.8227,-3.4795,-1.4379,-6.7959,-0.1757,-0.0163,-2.4605,-1.3153,-2.4393
193006,-21.9008,-22.7061,-18.7478,-17.0466,-19.7457,-24.0761,-20.7783,-18.9183,-18.7389,-18.8777,-20.3738,-19.2499,-14.7866,-16.4982,-18.6986,-21.4811,-19.994,-16.856,-15.5192,-18.294,-18.6143,-16.3218,-15.9939,-12.4107,-12.1877
193007,1.4888,1.0995,12.7563,2.3686,1.7444,7.3078,5.8227,3.7983,1.8813,0.0063,6.3323,5.6944,1.5656,4.2389,3.1333,4.3781,4.2118,3.6177,1.0843,1.7444,4.6168,4.4927,3.4458,0.8268,7.3314
193008,-14.7528,-22.5244,-4.7061,-4.9401,-4.9293,-3.2056,0.8432,-1.9258,-3.1467,-1.709,-3.4689,-2.2052,-2.347,-1.251,-1.1761,1.0006,-0.1988,-2.4745,-2.2741,4.2369,0.1951,-1.7288,-0.5128,-2.6182,-24.0437
193009,-21.3912,0.776,-29.1079,-20.1215,-17.3221,-14.8162,-15.0154,-15.9893,-16.3207,-20.4217,-12.9484,-15.7383,-13.5029,-17.0066,-21.096,-13.2523,-14.9274,-13.4765,-12.8654,-20.5514,-12.296,-14.2656,-11.6638,-16.9446,-28.0576
193010,-26.7166,-5.8333,-14.9501,-14.7442,-5.9765,-6.3693,-10.7909,-10.683,-11.546,-6.8851,-14.9034,-9.1275,-6.4233,-10.8746,-19.8153,-11.6135,-10.5483,-9.0462,-10.3523,-11.4925,-10.496,-8.724,-9.7787,-9.823,-20
193011,20.8333,-14.3554,-1.5351,-1.0561,-2.8094,-5.7382,1.9444,-3.8602,-2.4706,-5.8739,-0.1341,-0.4897,-2.879,0.62,-5.3701,-1.5033,-0.139,-2.1751,-5.2626,-0.2254,-1.6676,0.6531,-6.5097,-9.4864,-12.5
193012,-4.2208,-30.24,-23.3542,-13.8397,-21.6368,-16.6432,-12.7543,-17.2954,-20.0452,-21.9752,-8.8709,-11.15,-9.5074,-13.1897,-18.6741,-9.2688,-11.8952,-12.6847,-12.2662,-15.4049,-7.6834,-10.9598,-11.0551,-14.8623,-30
193101,-19.4897,27.5433,21.72,20.6884,25.0617,15.9483,13.412,17.5274,17.3225,19.5225,13.2021,9.9717,10.0827,9.084,22.0669,7.971,8.2635,4.5062,9.4257,11.7094,5.656,4.8376,10.0952,16.0947,34.6939
